participant_id,participant_group,dataset,oracle,search,task,confidence-udata,confidence-ans,efficiency,ease-of-use,utility,overall
stu31,student,movies,dziban,bfs,4. Exploration,0,-1,-1,-1,0,-1
stu23,student,birdstrikes,dziban,dfs,1. Find Extremum,-1,1,0,-1,-1,0
stu27,student,birdstrikes,dziban,dfs,4. Exploration,1,1,1,1,1,1
stu32,student,birdstrikes,compassql,bfs,2. Retrieve Value,1,1,0,1,0,1
stu6,student,movies,compassql,dfs,2. Retrieve Value,0,-1,-1,-1,-2,-1
stu7,student,movies,dziban,bfs,2. Retrieve Value,1,1,1,1,1,1
stu29,student,movies,dziban,bfs,1. Find Extremum,2,2,2,2,2,2
stu10,student,movies,compassql,dfs,2. Retrieve Value,1,2,0,1,1,0
stu38,student,movies,compassql,dfs,2. Retrieve Value,1,1,0,0,0,0
stu16,student,birdstrikes,compassql,dfs,4. Exploration,1,1,1,0,1,1
pro3,professional,movies,compassql,bfs,1. Find Extremum,1,1,0,0,-1,-1
pro16,professional,birdstrikes,compassql,bfs,1. Find Extremum,1,2,-1,1,-1,1
stu2,student,birdstrikes,compassql,bfs,3. Prediction,2,1,2,2,1,2
pro18,professional,movies,dziban,dfs,4. Exploration,1,1,1,1,-1,-1
stu22,student,birdstrikes,dziban,bfs,1. Find Extremum,0,2,2,0,2,2
stu25,student,movies,compassql,bfs,2. Retrieve Value,1,1,-1,1,-2,0
pro26,professional,birdstrikes,dziban,bfs,4. Exploration,1,1,1,1,2,2
stu5,student,birdstrikes,compassql,dfs,4. Exploration,-1,1,0,0,1,0
stu30,student,movies,dziban,dfs,4. Exploration,2,2,2,2,2,2
stu1,student,birdstrikes,compassql,bfs,4. Exploration,1,1,1,0,1,1
pro24,professional,movies,dziban,dfs,2. Retrieve Value,1,1,1,0,1,2
pro20,professional,movies,dziban,bfs,2. Retrieve Value,1,1,-1,-1,-1,0
pro10,professional,birdstrikes,dziban,dfs,3. Prediction,1,1,1,0,1,1
stu3,student,movies,compassql,dfs,2. Retrieve Value,2,1,0,1,0,1
pro5,professional,movies,dziban,dfs,3. Prediction,1,1,1,1,1,1
stu40,student,birdstrikes,dziban,dfs,1. Find Extremum,2,2,-2,-2,-2,-2
stu12,student,birdstrikes,dziban,dfs,1. Find Extremum,0,1,-1,1,1,1
pro12,professional,birdstrikes,dziban,dfs,1. Find Extremum,1,2,0,0,-1,0
stu36,student,movies,dziban,dfs,3. Prediction,2,2,2,2,2,2
pro4,professional,birdstrikes,compassql,bfs,2. Retrieve Value,1,2,0,1,0,1
